P 350, -100, 0, 0, 0, 0, 2, Level_1_(Top)
P 350, -75, -42, 255, 102, 255, 2, Level_2
P 350, -50, -86, 204, 0, 204, 2, Level_3
P 350, -25, -116, 178, 102, 255, 2, Level_4
P 350, 0, -149, 102, 0, 204, 2, Level_5_(Bottom)
L 33.0, 103.0, 0.0, 33.0, 117.0, 0.0, 0, 0, 0
L 14.0, 117.0, 0.0, 33.0, 117.0, 0.0, 0, 0, 0
L 0.0, 78.0, 0.0, 14.0, 104.0, 0.0, 0, 0, 0
L 14.0, 104.0, 0.0, 14.0, 117.0, 0.0, 199, 21, 133
L 0.0, 78.0, 0.0, -17.0, 77.0, 0.0, 0, 0, 0
L -17.0, 77.0, 0.0, -32.0, 59.0, 0.0, 0, 0, 0
L -32.0, 59.0, 0.0, -5.0, 22.0, 0.0, 0, 0, 0
L -5.0, 22.0, 0.0, -22.0, 22.0, 0.0, 0, 0, 0
L -22.0, 22.0, 0.0, -42.0, 17.0, 0.0, 0, 0, 0
L -42.0, 17.0, 0.0, -52.0, 26.0, 0.0, 0, 0, 0
L -52.0, 26.0, 0.0, -73.0, 16.0, 0.0, 0, 0, 0
L -73.0, 16.0, 0.0, -73.0, 7.0, 0.0, 0, 0, 0
L -73.0, 7.0, 0.0, -61.0, -12.0, 0.0, 0, 0, 0
L -61.0, -12.0, 0.0, -52.0, -36.0, 0.0, 0, 0, 0
L -52.0, -36.0, 0.0, -61.0, -45.0, 0.0, 0, 0, 0
L -61.0, -45.0, 0.0, -61.0, -62.0, 0.0, 0, 0, 0
L -61.0, -62.0, 0.0, -78.0, -57.0, 0.0, 0, 0, 0
L -78.0, -57.0, 0.0, -89.0, -57.0, 0.0, 0, 0, 0
L -89.0, -57.0, 0.0, -126.0, -82.0, 0.0, 0, 0, 0
L -126.0, -82.0, 0.0, -137.0, -88.0, 0.0, 0, 0, 0
L -137.0, -88.0, 0.0, -137.0, -43.0, 0.0, 0, 0, 0
L -137.0, -43.0, 0.0, -200.0, -43.0, 1.0, 0, 0, 0
L -200.0, -43.0, 1.0, -218.0, -67.0, 1.0, 0, 0, 0
L -218.0, -67.0, 1.0, -206.0, -123.0, 1.0, 0, 0, 0
L -206.0, -123.0, 1.0, -196.0, -184.0, 1.0, 0, 0, 0
L -196.0, -184.0, 1.0, -161.0, -228.0, 1.0, 0, 0, 0
L 174.0, -134.0, -50.0, 169.0, -134.0, -50.0, 255, 102, 255
L 169.0, -134.0, -50.0, 145.0, -134.0, -61.0, 255, 102, 255
L 145.0, -134.0, -61.0, 82.0, -134.0, -61.0, 255, 102, 255
L -113.0, -97.0, -131.0, -111.0, -97.0, -131.0, 102, 0, 204
L -109.0, -109.0, -131.0, -133.0, -109.0, -131.0, 102, 0, 204
L -133.0, -109.0, -131.0, -133.0, -155.0, -131.0, 102, 0, 204
L -133.0, -155.0, -131.0, -71.0, -155.0, -131.0, 102, 0, 204
L -54.0, -142.0, -131.0, -113.0, -142.0, -131.0, 102, 0, 204
L -113.0, -142.0, -131.0, -113.0, -119.0, -131.0, 102, 0, 204
L -113.0, -119.0, -131.0, -109.0, -119.0, -131.0, 102, 0, 204
L -109.0, -119.0, -131.0, -109.0, -131.0, -131.0, 102, 0, 204
L -109.0, -131.0, -131.0, -29.0, -131.0, -131.0, 102, 0, 204
L -29.0, -131.0, -131.0, -29.0, -118.0, -131.0, 102, 0, 204
L -29.0, -118.0, -131.0, -26.0, -118.0, -131.0, 102, 0, 204
L -26.0, -118.0, -131.0, -26.0, -109.0, -131.0, 102, 0, 204
L -26.0, -109.0, -131.0, -29.0, -109.0, -131.0, 102, 0, 204
L -29.0, -109.0, -131.0, -29.0, -84.0, -131.0, 102, 0, 204
L -109.0, -109.0, -131.0, -109.0, -106.0, -131.0, 102, 0, 204
L -109.0, -97.0, -131.0, -109.0, -72.0, -130.0, 102, 0, 204
L -109.0, -72.0, -130.0, -64.0, -72.0, -131.0, 102, 0, 204
L -64.0, -84.0, -131.0, -64.0, -72.0, -131.0, 102, 0, 204
L -64.0, -84.0, -131.0, -45.0, -84.0, -131.0, 102, 0, 204
L -45.0, -84.0, -131.0, -45.0, -82.0, -131.0, 102, 0, 204
L -36.0, -84.0, -131.0, -36.0, -82.0, -131.0, 102, 0, 204
L -29.0, -84.0, -131.0, -36.0, -84.0, -131.0, 102, 0, 204
L -54.0, -142.0, -131.0, -54.0, -166.0, -131.0, 102, 0, 204
L -54.0, -166.0, -131.0, 1.0, -166.0, -131.0, 102, 0, 204
L -71.0, -155.0, -131.0, -71.0, -175.0, -131.0, 102, 0, 204
L -71.0, -175.0, -131.0, 52.0, -175.0, -131.0, 102, 0, 204
L 79.0, -180.0, -132.0, 79.0, -161.0, -132.0, 0, 0, 0
L 79.0, -161.0, -132.0, 102.0, -161.0, -132.0, 0, 0, 0
L 102.0, -161.0, -132.0, 102.0, -180.0, -132.0, 0, 0, 0
L 102.0, -180.0, -132.0, 79.0, -180.0, -132.0, 0, 0, 0
L 85.0, -178.0, -130.0, 96.0, -178.0, -130.0, 0, 0, 0
L 96.0, -178.0, -130.0, 96.0, -167.0, -130.0, 0, 0, 0
L 85.0, -178.0, -130.0, 85.0, -167.0, -130.0, 0, 0, 0
L 85.0, -167.0, -130.0, 96.0, -167.0, -130.0, 0, 0, 0
L 97.0, -205.0, -131.0, 122.0, -174.0, -132.0, 102, 0, 204
L 122.0, -174.0, -132.0, 122.0, -167.0, -132.0, 102, 0, 204
L 122.0, -167.0, -132.0, 101.0, -140.0, -132.0, 102, 0, 204
L 101.0, -140.0, -132.0, 80.0, -140.0, -132.0, 102, 0, 204
L 80.0, -140.0, -132.0, 54.0, -166.0, -131.0, 102, 0, 204
L -36.0, -82.0, -131.0, -36.0, -67.0, -131.0, 102, 0, 204
L -45.0, -50.0, -131.0, 52.0, -50.0, -131.0, 102, 0, 204
L -36.0, -67.0, -131.0, 67.0, -67.0, -131.0, 102, 0, 204
L 67.0, -67.0, -131.0, 67.0, 9.0, -131.0, 102, 0, 204
L 67.0, 9.0, -131.0, 65.0, 9.0, -131.0, 102, 0, 204
L 65.0, 9.0, -131.0, 65.0, 20.0, -131.0, 102, 0, 204
L 65.0, 20.0, -131.0, 74.0, 20.0, -131.0, 102, 0, 204
L 74.0, 20.0, -131.0, 74.0, 47.0, -131.0, 102, 0, 204
L 74.0, 47.0, -131.0, 50.0, 47.0, -131.0, 102, 0, 204
L 50.0, 47.0, -131.0, 50.0, 20.0, -131.0, 102, 0, 204
L 50.0, 20.0, -131.0, 54.0, 20.0, -131.0, 102, 0, 204
L 54.0, 20.0, -131.0, 54.0, 9.0, -131.0, 102, 0, 204
L 54.0, 9.0, -131.0, 52.0, 9.0, -131.0, 102, 0, 204
L 52.0, 9.0, -131.0, 52.0, -9.0, -131.0, 102, 0, 204
L 97.0, -205.0, -131.0, 123.0, -205.0, -131.0, 102, 0, 204
L 123.0, -205.0, -131.0, 152.0, -177.0, -131.0, 102, 0, 204
L 152.0, -177.0, -131.0, 186.0, -123.0, -131.0, 102, 0, 204
L 186.0, -123.0, -131.0, 180.0, -63.0, -131.0, 102, 0, 204
L 180.0, -63.0, -131.0, 182.0, -44.0, -131.0, 102, 0, 204
L 186.0, -32.0, -131.0, 182.0, -44.0, -131.0, 102, 0, 204
L 186.0, -32.0, -131.0, 206.0, -10.0, -131.0, 102, 0, 204
L 206.0, -10.0, -131.0, 206.0, 18.0, -131.0, 102, 0, 204
L 190.0, -12.0, -131.0, 176.0, -12.0, -131.0, 102, 0, 204
L 176.0, -1.0, -131.0, 179.0, -1.0, -131.0, 102, 0, 204
L 179.0, -1.0, -131.0, 179.0, 21.0, -131.0, 102, 0, 204
L 179.0, 21.0, -131.0, 191.0, 28.0, -131.0, 102, 0, 204
L 176.0, -1.0, -131.0, 176.0, 22.0, -118.0, 102, 0, 204
L 176.0, 22.0, -118.0, 178.0, 22.0, -118.0, 102, 0, 204
L 178.0, 22.0, -118.0, 190.0, 30.0, -118.0, 102, 0, 204
L 213.0, 18.0, -119.0, 202.0, 18.0, -117.0, 102, 0, 204
L 202.0, 18.0, -117.0, 190.0, 30.0, -118.0, 102, 0, 204
L 189.0, 47.0, -118.0, 202.0, 57.0, -117.0, 102, 0, 204
L 202.0, 57.0, -117.0, 213.0, 57.0, -119.0, 102, 0, 204
L 206.0, 57.0, -131.0, 205.0, 69.0, -131.0, 102, 0, 204
L 206.0, 57.0, -131.0, 201.0, 57.0, -131.0, 102, 0, 204
L 201.0, 57.0, -131.0, 189.0, 72.0, -131.0, 102, 0, 204
L 189.0, 72.0, -131.0, 168.0, 74.0, -131.0, 102, 0, 204
L 168.0, 74.0, -131.0, 168.0, 92.0, -131.0, 102, 0, 204
L 168.0, 92.0, -131.0, 153.0, 92.0, -131.0, 102, 0, 204
L 153.0, 92.0, -131.0, 153.0, 94.0, -131.0, 102, 0, 204
L 153.0, 96.0, -131.0, 175.0, 96.0, -131.0, 102, 0, 204
L 175.0, 96.0, -131.0, 175.0, 115.0, -131.0, 102, 0, 204
L 175.0, 115.0, -131.0, 174.0, 115.0, -131.0, 102, 0, 204
L 165.0, 118.0, -131.0, 165.0, 116.0, -131.0, 102, 0, 204
L 174.0, 115.0, -131.0, 174.0, 116.0, -131.0, 102, 0, 204
L 177.0, 118.0, -131.0, 177.0, 153.0, -131.0, 102, 0, 204
L 177.0, 153.0, -131.0, 156.0, 153.0, -131.0, 102, 0, 204
L 156.0, 153.0, -131.0, 156.0, 118.0, -131.0, 102, 0, 204
L 156.0, 118.0, -131.0, 165.0, 118.0, -131.0, 102, 0, 204
L 177.0, 118.0, -131.0, 174.0, 118.0, -131.0, 102, 0, 204
L 144.0, 96.0, -131.0, 130.0, 96.0, -131.0, 102, 0, 204
L 130.0, 96.0, -131.0, 130.0, 105.0, -131.0, 102, 0, 204
L 124.0, 105.0, -131.0, 124.0, 115.0, -131.0, 102, 0, 204
L 124.0, 105.0, -131.0, 130.0, 105.0, -131.0, 102, 0, 204
L 141.0, 115.0, -131.0, 165.0, 115.0, -131.0, 102, 0, 204
L 217.0, 168.0, -117.0, 257.0, 168.0, -117.0, 102, 0, 204
L 271.0, 179.0, -116.0, 217.0, 179.0, -116.0, 102, 0, 204
L 183.0, 58.0, -131.0, 168.0, 60.0, -131.0, 102, 0, 204
L 168.0, 60.0, -131.0, 158.0, 56.0, -131.0, 102, 0, 204
L 158.0, 56.0, -131.0, 154.0, 48.0, -131.0, 102, 0, 204
L 154.0, 48.0, -131.0, 152.0, 36.0, -131.0, 102, 0, 204
L 152.0, 36.0, -131.0, 156.0, 25.0, -131.0, 102, 0, 204
L 156.0, 25.0, -131.0, 164.0, 21.0, -131.0, 102, 0, 204
L 164.0, 21.0, -131.0, 164.0, -1.0, -131.0, 102, 0, 204
L 164.0, -1.0, -131.0, 167.0, -1.0, -131.0, 102, 0, 204
L 167.0, -1.0, -131.0, 167.0, 22.0, -118.0, 102, 0, 204
L 165.0, 22.0, -118.0, 167.0, 22.0, -118.0, 102, 0, 204
L 165.0, 22.0, -118.0, 157.0, 26.0, -118.0, 102, 0, 204
L 157.0, 26.0, -118.0, 153.0, 37.0, -118.0, 102, 0, 204
L 153.0, 37.0, -118.0, 155.0, 47.0, -118.0, 102, 0, 204
L 155.0, 47.0, -118.0, 159.0, 55.0, -118.0, 102, 0, 204
L 159.0, 55.0, -118.0, 169.0, 59.0, -118.0, 102, 0, 204
L 169.0, 59.0, -118.0, 182.0, 57.0, -118.0, 102, 0, 204
L 182.0, 57.0, -118.0, 189.0, 47.0, -118.0, 102, 0, 204
L 213.0, 18.0, -119.0, 213.0, 57.0, -119.0, 0, 0, 0
L 190.0, -12.0, -131.0, 201.0, 18.0, -131.0, 102, 0, 204
L 201.0, 18.0, -131.0, 206.0, 18.0, -131.0, 102, 0, 204
L 191.0, 48.0, -131.0, 183.0, 58.0, -131.0, 102, 0, 204
L 205.0, 69.0, -131.0, 183.0, 93.0, -131.0, 102, 0, 204
L 183.0, 93.0, -131.0, 183.0, 145.0, -131.0, 102, 0, 204
L 183.0, 145.0, -131.0, 205.0, 180.0, -131.0, 102, 0, 204
L 205.0, 180.0, -131.0, 205.0, 215.0, -131.0, 102, 0, 204
L 205.0, 215.0, -131.0, 162.0, 238.0, -131.0, 102, 0, 204
L 162.0, 238.0, -131.0, 97.0, 251.0, -131.0, 102, 0, 204
L 97.0, 251.0, -131.0, 52.0, 236.0, -131.0, 102, 0, 204
L 52.0, 236.0, -131.0, 48.0, 211.0, -131.0, 102, 0, 204
L 48.0, 211.0, -131.0, 48.0, 207.0, -131.0, 102, 0, 204
L 48.0, 207.0, -131.0, 50.0, 207.0, -131.0, 102, 0, 204
L 50.0, 207.0, -131.0, 58.0, 204.0, -131.0, 102, 0, 204
L 58.0, 204.0, -131.0, 94.0, 227.0, -131.0, 102, 0, 204
L 94.0, 227.0, -131.0, 108.0, 237.0, -131.0, 102, 0, 204
L 108.0, 237.0, -131.0, 117.0, 237.0, -131.0, 102, 0, 204
L 117.0, 237.0, -131.0, 145.0, 205.0, -131.0, 102, 0, 204
L 155.0, 205.0, -132.0, 145.0, 205.0, -131.0, 102, 0, 204
L 155.0, 205.0, -132.0, 161.0, 203.0, -132.0, 102, 0, 204
L 161.0, 203.0, -132.0, 161.0, 191.0, -132.0, 102, 0, 204
L 161.0, 191.0, -132.0, 145.0, 188.0, -131.0, 102, 0, 204
L 145.0, 188.0, -131.0, 121.0, 160.0, -131.0, 102, 0, 204
L 121.0, 160.0, -131.0, 117.0, 157.0, -131.0, 102, 0, 204
L 117.0, 153.0, -131.0, 117.0, 155.0, -131.0, 102, 0, 204
L 108.0, 157.0, -131.0, 108.0, 155.0, -131.0, 102, 0, 204
L 108.0, 153.0, -131.0, 106.0, 153.0, -131.0, 102, 0, 204
L 106.0, 153.0, -131.0, 106.0, 116.0, -131.0, 102, 0, 204
L 119.0, 153.0, -131.0, 119.0, 106.0, -131.0, 102, 0, 204
L 106.0, 106.0, -131.0, 92.0, 106.0, -131.0, 102, 0, 204
L 119.0, 153.0, -131.0, 117.0, 153.0, -131.0, 102, 0, 204
L 108.0, 157.0, -131.0, 58.0, 188.0, -131.0, 102, 0, 204
L 58.0, 188.0, -131.0, 50.0, 186.0, -131.0, 102, 0, 204
L 50.0, 186.0, -131.0, 48.0, 186.0, -131.0, 102, 0, 204
L 48.0, 186.0, -131.0, 48.0, 114.0, -131.0, 102, 0, 204
L 48.0, 114.0, -131.0, 14.0, 114.0, -131.0, 102, 0, 204
L 14.0, 114.0, -131.0, 14.0, 106.0, -131.0, 102, 0, 204
L 14.0, 97.0, -131.0, 14.0, 73.0, -131.0, 102, 0, 204
L 14.0, 73.0, -131.0, 52.0, 73.0, -131.0, 102, 0, 204
L 53.0, 64.0, -131.0, 52.0, 64.0, -131.0, 102, 0, 204
L 14.0, 64.0, -131.0, 14.0, 47.0, -131.0, 102, 0, 204
L 14.0, 47.0, -131.0, 47.0, 47.0, -131.0, 102, 0, 204
L 47.0, 47.0, -131.0, 47.0, -6.0, -131.0, 102, 0, 204
L 47.0, -6.0, -131.0, 47.0, -9.0, -131.0, 102, 0, 204
L 52.0, -9.0, -131.0, 49.0, -9.0, -131.0, 102, 0, 204
L 52.0, -28.0, -131.0, 49.0, -28.0, -131.0, 102, 0, 204
L 47.0, -28.0, -131.0, 47.0, -47.0, -131.0, 102, 0, 204
L 47.0, -47.0, -131.0, -36.0, -47.0, -131.0, 102, 0, 204
L -36.0, -47.0, -131.0, -47.0, -47.0, -131.0, 102, 0, 204
L 52.0, -28.0, -131.0, 52.0, -50.0, -131.0, 102, 0, 204
L -47.0, -47.0, -131.0, -47.0, 0.0, -131.0, 102, 0, 204
L -51.0, 0.0, -131.0, -49.0, 0.0, -131.0, 102, 0, 204
L -47.0, 9.0, -131.0, -49.0, 9.0, -131.0, 102, 0, 204
L -51.0, 9.0, -131.0, -51.0, 20.0, -131.0, 102, 0, 204
L -51.0, 20.0, -131.0, -90.0, 20.0, -131.0, 102, 0, 204
L -90.0, 20.0, -131.0, -90.0, -4.0, -131.0, 102, 0, 204
L -90.0, -17.0, -131.0, -77.0, -17.0, -131.0, 102, 0, 204
L -77.0, -17.0, -131.0, -77.0, -26.0, -131.0, 102, 0, 204
L -77.0, -26.0, -131.0, -70.0, -26.0, -131.0, 102, 0, 204
L -70.0, -26.0, -131.0, -70.0, -17.0, -131.0, 102, 0, 204
L -70.0, -17.0, -131.0, -68.0, -17.0, -131.0, 102, 0, 204
L -61.0, -17.0, -131.0, -59.0, -17.0, -131.0, 102, 0, 204
L -52.0, -17.0, -131.0, -52.0, -26.0, -131.0, 102, 0, 204
L -52.0, -26.0, -131.0, -59.0, -26.0, -131.0, 102, 0, 204
L -59.0, -26.0, -131.0, -59.0, -17.0, -131.0, 102, 0, 204
L -61.0, -17.0, -131.0, -61.0, -26.0, -131.0, 102, 0, 204
L -61.0, -26.0, -131.0, -68.0, -26.0, -131.0, 102, 0, 204
L -68.0, -26.0, -131.0, -68.0, -17.0, -131.0, 102, 0, 204
L -51.0, -17.0, -131.0, -52.0, -17.0, -131.0, 102, 0, 204
L -51.0, -17.0, -131.0, -51.0, -9.0, -131.0, 102, 0, 204
L -51.0, -9.0, -131.0, -51.0, -4.0, -131.0, 102, 0, 204
L -90.0, -9.0, -131.0, -90.0, -17.0, -131.0, 102, 0, 204
L -51.0, -9.0, -131.0, -90.0, -9.0, -131.0, 205, 133, 63
L -90.0, -4.0, -131.0, -90.0, -9.0, -131.0, 102, 0, 204
L -51.0, -4.0, -131.0, -51.0, 0.0, -131.0, 102, 0, 204
L -90.0, -4.0, -131.0, -51.0, -4.0, -131.0, 205, 133, 63
L -47.0, 9.0, -131.0, -47.0, 47.0, -131.0, 102, 0, 204
L -47.0, 47.0, -131.0, -16.0, 47.0, -131.0, 102, 0, 204
L -16.0, 47.0, -131.0, -16.0, 124.0, -131.0, 102, 0, 204
L -18.0, 13.0, -136.0, -18.0, -15.0, -136.0, 0, 0, 255
L -18.0, -15.0, -136.0, 18.0, -15.0, -136.0, 0, 0, 255
L 18.0, -15.0, -136.0, 18.0, 13.0, -136.0, 0, 0, 255
L 18.0, 13.0, -136.0, 4.0, 13.0, -136.0, 0, 0, 255
L 4.0, 13.0, -136.0, 3.0, 123.0, -136.0, 0, 0, 255
L -4.0, 13.0, -136.0, -4.0, 136.0, -136.0, 0, 0, 255
L -4.0, 136.0, -136.0, 28.0, 136.0, -136.0, 0, 0, 255
L 37.0, 123.0, -136.0, 3.0, 123.0, -136.0, 0, 0, 255
L -18.0, 13.0, -136.0, -4.0, 13.0, -136.0, 0, 0, 255
L -3.0, 5.0, -136.0, -7.0, 6.0, -136.0, 0, 0, 255
L -7.0, 6.0, -136.0, -6.0, 2.0, -137.0, 0, 0, 255
L -6.0, 2.0, -137.0, -11.0, -1.0, -137.0, 0, 0, 255
L -11.0, -1.0, -137.0, -6.0, -4.0, -136.0, 0, 0, 255
L -6.0, -4.0, -136.0, -7.0, -9.0, -137.0, 0, 0, 255
L -7.0, -9.0, -137.0, -3.0, -7.0, -136.0, 0, 0, 255
L -3.0, -7.0, -136.0, 0.0, -11.0, -136.0, 0, 0, 255
L 0.0, -11.0, -136.0, 3.0, -7.0, -136.0, 0, 0, 255
L 3.0, -7.0, -136.0, 7.0, -8.0, -136.0, 0, 0, 255
L 7.0, -8.0, -136.0, 6.0, -4.0, -136.0, 0, 0, 255
L 6.0, -4.0, -136.0, 10.0, 0.0, -137.0, 0, 0, 255
L 10.0, 0.0, -137.0, 6.0, 2.0, -136.0, 0, 0, 255
L 6.0, 2.0, -136.0, 8.0, 6.0, -137.0, 0, 0, 255
L 8.0, 6.0, -137.0, 3.0, 5.0, -136.0, 0, 0, 255
L 3.0, 5.0, -136.0, 0.0, 9.0, -136.0, 0, 0, 255
L 0.0, 9.0, -136.0, -3.0, 5.0, -136.0, 0, 0, 255
L 37.0, 123.0, -136.0, 37.0, 237.0, -137.0, 0, 0, 255
L 37.0, 237.0, -137.0, 63.0, 254.0, -137.0, 0, 0, 255
L 63.0, 254.0, -137.0, 97.0, 259.0, -136.0, 0, 0, 255
L 97.0, 259.0, -136.0, 162.0, 248.0, -136.0, 0, 0, 255
L 162.0, 248.0, -136.0, 226.0, 215.0, -136.0, 0, 0, 255
L 226.0, 179.0, -136.0, 226.0, 215.0, -136.0, 0, 0, 255
L 226.0, 179.0, -136.0, 191.0, 145.0, -136.0, 0, 0, 255
L 191.0, 145.0, -136.0, 191.0, 93.0, -136.0, 0, 0, 255
L 191.0, 93.0, -136.0, 211.0, 69.0, -136.0, 0, 0, 255
L 211.0, 69.0, -136.0, 214.0, 58.0, -136.0, 0, 0, 255
L 214.0, 58.0, -136.0, 214.0, 17.0, -136.0, 0, 0, 255
L 214.0, 17.0, -136.0, 211.0, -10.0, -137.0, 0, 0, 255
L 211.0, -10.0, -137.0, 193.0, -32.0, -136.0, 0, 0, 255
L 193.0, -32.0, -136.0, 187.0, -47.0, -136.0, 0, 0, 255
L 187.0, -47.0, -136.0, 187.0, -63.0, -136.0, 0, 0, 255
L 187.0, -63.0, -136.0, 195.0, -123.0, -137.0, 0, 0, 255
L 195.0, -123.0, -137.0, 165.0, -176.0, -136.0, 0, 0, 255
L 165.0, -176.0, -136.0, 137.0, -205.0, -136.0, 0, 0, 255
L 137.0, -205.0, -136.0, 105.0, -221.0, -136.0, 0, 0, 255
L 21.0, -216.0, -136.0, 105.0, -221.0, -136.0, 0, 0, 255
L 21.0, -216.0, -136.0, -22.0, -198.0, -136.0, 0, 0, 255
L -22.0, -198.0, -136.0, -45.0, -198.0, -136.0, 0, 0, 255
L -45.0, -198.0, -136.0, -63.0, -239.0, -136.0, 0, 0, 255
L -63.0, -239.0, -136.0, -64.0, -257.0, -136.0, 178, 102, 255
L -64.0, -257.0, -136.0, -45.0, -289.0, -136.0, 0, 0, 255
L -45.0, -289.0, -136.0, -22.0, -289.0, -136.0, 0, 0, 255
L -22.0, -289.0, -136.0, 21.0, -257.0, -136.0, 0, 0, 255
L 21.0, -257.0, -136.0, 22.0, -256.0, -136.0, 0, 0, 255
L 22.0, -256.0, -136.0, 59.0, -254.0, -136.0, 0, 0, 255
L 59.0, -254.0, -136.0, 96.0, -254.0, -136.0, 0, 0, 255
L 96.0, -254.0, -136.0, 161.0, -217.0, -136.0, 0, 0, 255
L 161.0, -217.0, -136.0, 199.0, -174.0, -136.0, 0, 0, 255
L 199.0, -174.0, -136.0, 222.0, -122.0, -136.0, 0, 0, 255
L 222.0, -122.0, -136.0, 208.0, -62.0, -137.0, 0, 0, 255
L 208.0, -62.0, -137.0, 216.0, -47.0, -136.0, 0, 0, 255
L 216.0, -47.0, -136.0, 241.0, -9.0, -136.0, 0, 0, 255
L 241.0, -9.0, -136.0, 254.0, 7.0, -136.0, 0, 0, 255
L 254.0, 7.0, -136.0, 254.0, 68.0, -136.0, 0, 0, 255
L 254.0, 68.0, -136.0, 221.0, 92.0, -136.0, 0, 0, 255
L 221.0, 92.0, -136.0, 221.0, 146.0, -136.0, 0, 0, 255
L 221.0, 146.0, -136.0, 254.0, 180.0, -136.0, 0, 0, 255
L 254.0, 180.0, -136.0, 253.0, 214.0, -136.0, 0, 0, 255
L 253.0, 214.0, -136.0, 203.0, 269.0, -136.0, 0, 0, 255
L 203.0, 269.0, -136.0, 35.0, 273.0, -136.0, 0, 0, 255
L 35.0, 273.0, -136.0, 28.0, 260.0, -136.0, 0, 0, 255
L 28.0, 260.0, -136.0, 28.0, 136.0, -136.0, 0, 0, 255
L 20.0, 237.0, -131.0, 10.0, 237.0, -131.0, 102, 0, 204
L 10.0, 237.0, -131.0, 10.0, 269.0, -131.0, 102, 0, 204
L 10.0, 269.0, -131.0, 63.0, 282.0, -131.0, 102, 0, 204
L 63.0, 282.0, -131.0, 203.0, 279.0, -131.0, 102, 0, 204
L 203.0, 279.0, -131.0, 266.0, 214.0, -131.0, 102, 0, 204
L 266.0, 214.0, -131.0, 266.0, 180.0, -131.0, 102, 0, 204
L 38.0, 201.0, -131.0, 27.0, 201.0, -131.0, 0, 0, 0
L 27.0, 201.0, -131.0, 27.0, 192.0, -131.0, 0, 0, 0
L 27.0, 192.0, -131.0, 38.0, 192.0, -131.0, 0, 0, 0
L 38.0, 201.0, -131.0, 38.0, 192.0, -131.0, 0, 0, 0
L 26.0, 153.0, -131.0, 38.0, 153.0, -131.0, 0, 0, 0
L 38.0, 153.0, -131.0, 38.0, 144.0, -131.0, 0, 0, 0
L 38.0, 144.0, -131.0, 26.0, 144.0, -131.0, 0, 0, 0
L 26.0, 144.0, -131.0, 26.0, 153.0, -131.0, 0, 0, 0
L -5.0, 93.0, -131.0, 6.0, 93.0, -131.0, 0, 0, 0
L 6.0, 93.0, -131.0, 6.0, 84.0, -131.0, 0, 0, 0
L 6.0, 84.0, -131.0, -5.0, 84.0, -131.0, 0, 0, 0
L -5.0, 84.0, -131.0, -5.0, 93.0, -131.0, 0, 0, 0
L 6.0, 36.0, -131.0, -5.0, 36.0, -131.0, 0, 0, 0
L -5.0, 36.0, -131.0, -5.0, 44.0, -131.0, 0, 0, 0
L -5.0, 44.0, -131.0, 6.0, 44.0, -131.0, 0, 0, 0
L 6.0, 44.0, -131.0, 6.0, 36.0, -131.0, 0, 0, 0
L 14.0, 97.0, -131.0, 16.0, 97.0, -131.0, 102, 0, 204
L 14.0, 106.0, -131.0, 16.0, 106.0, -131.0, 102, 0, 204
L 19.0, 106.0, -131.0, 19.0, 111.0, -131.0, 102, 0, 204
L 19.0, 111.0, -131.0, 55.0, 111.0, -131.0, 102, 0, 204
L 55.0, 111.0, -131.0, 55.0, 114.0, -131.0, 102, 0, 204
L 55.0, 114.0, -131.0, 63.0, 114.0, -131.0, 102, 0, 204
L 63.0, 114.0, -131.0, 63.0, 111.0, -131.0, 102, 0, 204
L 63.0, 111.0, -131.0, 79.0, 111.0, -131.0, 102, 0, 204
L 79.0, 111.0, -131.0, 79.0, 104.0, -131.0, 102, 0, 204
L 79.0, 95.0, -131.0, 79.0, 83.0, -131.0, 102, 0, 204
L 79.0, 83.0, -131.0, 19.0, 83.0, -131.0, 102, 0, 204
L 19.0, 83.0, -131.0, 19.0, 97.0, -131.0, 102, 0, 204
L 79.0, 95.0, -131.0, 81.0, 95.0, -131.0, 102, 0, 204
L 79.0, 104.0, -131.0, 81.0, 104.0, -131.0, 102, 0, 204
L 82.0, 95.0, -131.0, 82.0, 82.0, -131.0, 102, 0, 204
L 82.0, 82.0, -131.0, 92.0, 82.0, -131.0, 102, 0, 204
L 92.0, 82.0, -131.0, 92.0, 106.0, -131.0, 102, 0, 204
L 82.0, 104.0, -131.0, 82.0, 116.0, -131.0, 102, 0, 204
L 82.0, 116.0, -131.0, 106.0, 116.0, -131.0, 102, 0, 204
L 119.0, 106.0, -131.0, 115.0, 106.0, -131.0, 102, 0, 204
L 115.0, 106.0, -131.0, 115.0, 104.0, -131.0, 102, 0, 204
L 106.0, 103.0, -131.0, 106.0, 104.0, -131.0, 102, 0, 204
L 106.0, 103.0, -131.0, 96.0, 103.0, -131.0, 102, 0, 204
L 96.0, 103.0, -131.0, 96.0, 81.0, -131.0, 102, 0, 204
L 96.0, 81.0, -131.0, 127.0, 81.0, -131.0, 102, 0, 204
L 127.0, 81.0, -131.0, 127.0, 83.0, -131.0, 102, 0, 204
L 127.0, 83.0, -131.0, 129.0, 83.0, -131.0, 102, 0, 204
L 144.0, 92.0, -131.0, 129.0, 92.0, -131.0, 102, 0, 204
L 127.0, 92.0, -131.0, 127.0, 103.0, -131.0, 102, 0, 204
L 127.0, 103.0, -131.0, 115.0, 103.0, -131.0, 102, 0, 204
L 144.0, 92.0, -131.0, 144.0, 94.0, -131.0, 102, 0, 204
